"f","V_peak","placebo_mortality","K_peak","L_peak","PLT_nadir","dialysis_risk","combo_day1_RRR"
1,34182581.7725451,9.58369149781988,53.043994152707,183.400702223071,40236.3084773926,43.1097791631141,90.0307858003721
3,11399162.7195163,9.59397841883869,53.0764362376257,183.512025615232,40210.127538526,43.1247750261067,77.4293012853371
10,3422901.6408221,9.60575390723942,53.163504807186,183.822253139521,40135.7796536758,43.1649821027861,60.8060207590628
30,1142866.7778276,9.61938359800102,53.3311719794421,184.437307429528,39989.3040515742,43.2422485925389,47.6627687767315
100,343873.134227885,9.63956629831918,53.6479186019288,185.599330598662,39711.6548796331,43.3876438912348,36.8843844043102
