"trial","k_CC","K_CC","k_KP","k_LP","k_PV","k_PC","K50","C50","w_K_HFRS","w_C_HFRS","k_P_CD8","k_CI","K_peak","L_peak","C_pro_peak","V_peak","P_peak","CD8_E_peak","mortality_prob","dialysis_prob","ecmo_prob","mortality_error"
64,1.78738065066079,70.3135913829099,1.7441686736608,2.48413286131546,4.87737342115614,0.676646290092265,4.45790811490046,30.7678155123162,0.171067443852871,0.0789110181999282,0.0362095783817973,1.69956686284353,0.755201855001469,1.17623237360047,4.01041001144345e-05,4284.58086453359,0.343593433395076,1.22692540637639,0.0191085424531754,0.144865897585444,0.0116255799015835,0.0748914575468246
77,4.42767520620957,406.953620581989,0.832630237670128,1.31755444767971,4.97576981682757,0.425410175614365,5.46666253528548,43.6818954238904,0.206769024720466,0.144629790858419,0.046609177734717,0.728074345010981,0.428156829492676,0.655564957360323,1.72662003634379e-05,4284.58086453359,0.359558652380682,1.22692542045648,0.0118396188781015,0.0726327310470164,0.00651295293646242,0.0821603811218985
59,1.7130145802949,440.988473805124,1.44576179686325,0.471558479193939,2.35061606605898,0.322167494055799,5.30401648643771,225.608940429438,0.197993099588828,0.0830143525945286,0.00211623386291553,1.22052472377697,0.333429133396543,0.0972545300710225,2.88427510635453e-05,4284.58086453359,0.151617113503316,1.22692541467618,0.00901769146580023,0.0591454278908585,0.000971600375331028,0.0849823085341998
23,1.58123018676046,68.2653786401821,1.23473335631852,0.200855227982002,3.92815536489652,1.31705061729966,4.40204155926749,273.337670358812,0.112644144978243,0.0262913525416027,0.0319127322752352,1.37102198825344,0.476540950837133,0.0774164621669173,3.23806490661695e-05,4284.58086453359,0.279264168440463,1.22692541404508,0.00840310384069307,0.0976802072835933,0.000773565754429559,0.0855968961593069
9,1.07656929172641,163.694215970838,0.777789399358352,0.82143513246556,1.50135508078319,0.111396017438967,5.51739088205001,89.60933443358,0.270609525323238,0.139114045519702,0.0180714053291112,4.49722816500841,0.209462703480415,0.1284186782048,0.000105871676257117,4284.58086453359,0.112332817486882,1.22692541970031,0.00783973700547697,0.0365755297131478,0.00128253976143891,0.086160262994523
98,0.549714717655517,87.5657063139326,0.0731566790369607,0.343865370131333,1.66155185011493,0.239833051828039,3.67561222295124,207.349914346728,0.230444590771032,0.114788527044559,0.00141692677533077,0.519915758238646,0.168094422623633,0.0500921056657604,1.23727968067265e-05,4284.58086453359,0.107101576846789,1.22692541685136,0.00757429292459155,0.0437323755747994,0.000500670260381736,0.0864257070754084
4,0.508515448572818,80.654569444545,1.4170978784529,0.801071419680244,0.678626857936331,0.249518198381015,3.33316118223545,464.130149849935,0.108377163065361,0.137710857356634,0.0322306419533172,3.40096043809789,0.297901171871523,0.103383084568559,8.01005541288668e-05,4284.58086453359,0.0782614077428033,1.22692541245297,0.00671181375315312,0.0820424280333762,0.00103276314329177,0.0872881862468469
81,1.28743356545941,230.262463560538,0.055260436479519,1.60407997057969,0.254645085472216,1.38793923437604,3.66152010347474,51.3623778806693,0.201158537847993,0.0301150962833372,0.00485270389612891,1.90311216365247,0.168098728802836,0.0472705120998693,4.48890542797011e-05,4284.58086453359,0.0208120971082739,1.22692541404508,0.00662577866757281,0.0438943759587852,0.000472481776443389,0.0873742213324272
74,0.65711626943265,149.759487024877,1.51851867963969,0.706492262232435,3.77573883501199,0.810977860901016,17.7054807323471,280.403308214078,0.261594638557359,0.0278580221971795,0.0021266892500115,0.669893927525011,0.495009157982733,0.232802254649978,1.58984918954244e-05,4284.58086453359,0.242407647315611,1.22692541063417,0.0064070289818517,0.0271975733051966,0.0023226154453761,0.0875929710181483
79,0.519055065791254,107.765461058128,0.122020603136565,1.47905557635947,0.988437686240144,0.332839710281774,3.67777706041982,79.2189409529107,0.193867586227101,0.043454299595803,0.00102744513286164,4.3021048719106,0.168004765701626,0.128552119795217,0.000101284707135469,4284.58086453359,0.0638776155628606,1.22692541694814,0.00638342842666139,0.0436854645680882,0.00128387075488134,0.0876165715733386
5,4.67666880297527,207.877847717745,0.171056822140293,0.325228957818019,0.721254764681022,0.903846968533022,3.34730863387333,246.624354196821,0.168265010366962,0.0282420863789269,0.00277703030443389,2.33472999296881,0.16895878099756,0.0215515508070351,5.50355500268293e-05,4284.58086453359,0.0484296408245585,1.22692541404508,0.00603793665413694,0.0480506062431442,0.00021546907114401,0.0879620633458631
90,1.23292426876896,208.509050956383,0.401169610509712,0.115121155664167,0.920436724729986,1.65826422876476,5.89888334994725,202.165873041892,0.256896626088905,0.0219238399781028,0.00170524036273276,0.675357724816027,0.170040530447579,0.00943663083894713,1.60269351439554e-05,4284.58086453359,0.0601484539881157,1.22692541685136,0.00564627557477674,0.0280182341711158,9.43574042295649e-05,0.0883537244252233
6,2.36906664870114,480.603802131852,0.82376908047362,0.686707976132211,3.08208951616487,0.100581617548845,6.43565071914814,308.322816373948,0.173136327858474,0.0324729227538158,0.00118314146451065,0.761618561140186,0.272160124350169,0.184186646341719,1.80547596490437e-05,4284.58086453359,0.197382891057081,1.226925411515,0.00556522054231787,0.0405736134634694,0.00183848022834096,0.0884347794576821
37,1.40096515763612,60.6533572518731,1.54561021191796,0.105753796075489,0.758413976939221,0.115504611184184,3.97069913976332,116.729651161705,0.160275980695746,0.128011797410248,0.00413094672201975,6.47927296575493,0.187575879798576,0.00755260517809086,0.000152465694513636,4284.58086453359,0.0520428232509542,1.22692541404508,0.00554073523014278,0.0451090605879017,7.5520348027193e-05,0.0884592647698572
32,2.86576198195984,63.5891374335114,0.686875039458953,2.67672826909752,0.382562716111531,0.074606271643352,3.50601958348008,309.683376977452,0.141654300982791,0.0515691084867484,0.00417011508923151,1.1572323001013,0.175881023910616,0.104812982143351,2.73548692729655e-05,4284.58086453359,0.0282070052779779,1.22692541433588,0.00509808584763689,0.0477690852266814,0.00104703239555572,0.0889019141523631
96,0.891144382364034,439.598798613975,0.251103322901136,1.08532718813941,0.352253080096023,0.122075408633639,3.2067014053896,75.6536262316595,0.104813594167801,0.0248998593863728,0.0280292341892259,0.513756413221672,0.187593409621792,0.118660037645155,1.22280025837917e-05,4284.58086453359,0.0668834862360476,1.22692541404508,0.00434006036711647,0.0552672704775535,0.00118519402477559,0.0896599396328835
71,3.06154874986675,320.555439809431,0.0654608858426348,0.687902238712148,1.1344528529786,0.0830871499839927,6.5276664728642,80.7273699319654,0.214513888438633,0.0282578544898832,0.00768137137862223,4.94045852439674,0.169098781673203,0.0750037656732882,0.000116291159952998,4284.58086453359,0.0792340329133364,1.22692541685136,0.0042800340873405,0.0252508151691042,0.000749475521868681,0.0897199659126595
2,4.30172111779537,90.0324002818681,0.275163509312724,2.44633219733372,4.6615662142323,0.0771244013371299,11.4155238278747,145.131979937493,0.252605707354676,0.0264490385911308,0.0478737431021904,8.52341767578425,0.208270709212491,1.15616890975246,0.000200519560680477,4284.58086453359,0.340887361999331,1.2269254124164,0.00426964208909743,0.0179176179128061,0.0114295442602611,0.0897303579109026
86,3.68585933326228,54.7511507379145,0.175140930962041,0.286622957541937,0.303388057774832,0.198552461765579,11.0978519548779,34.2034104469759,0.29336410198385,0.12473302061523,0.046126922655864,0.833219581727556,0.190684532056718,0.050846358325663,1.97379603957891e-05,4284.58086453359,0.109009180402547,1.22692541404508,0.00420153717099089,0.0168918736523036,0.000508205179430067,0.0897984628290091
72,0.972132923400041,136.693643756125,0.590840530702458,0.113381161973705,1.21556995671915,1.55848951630399,10.1897658162137,417.884157691555,0.28856085598126,0.0782057092487641,0.00321181044742473,0.933069336412944,0.174195300589625,0.0124246627215649,2.20852339436246e-05,4284.58086453359,0.0802880023773278,1.22692541685136,0.00414419052956357,0.0168077917918081,0.000124231191909059,0.0898558094704364
