"compartment","arm","n","median_pct","p05_pct","p95_pct","max_abs_dev"
"CD8_E_peak","ribavirin",199,100.0006104416,99.9996522148002,100.702731111103,91.1800929886346
"CD8_E_peak","favipiravir",199,100.000312920936,60.0240539126022,100.354112886629,93.6484695715676
"CD8_E_peak","combination",199,100.000293651633,49.5195677409634,100.042315582025,93.872928389759
"CD4_peak","ribavirin",199,100.000521781457,100.000056367713,100.846319794129,64.4484947472073
"CD4_peak","favipiravir",199,100.000696413456,81.8932964791688,100.551316236457,67.9292992962098
"CD4_peak","combination",199,100.00021284872,75.2085304158018,100.074891719389,68.2490921735204
"IgM_peak","ribavirin",199,100.071709621514,99.9978682885352,116.376877369322,84.8573713881702
"IgM_peak","favipiravir",199,100.013415772243,18.0575140202844,128.866173564076,85.1258345498062
"IgM_peak","combination",199,99.9978831098512,16.7905885829213,100.782365975831,85.1258345498062
"IgG_peak","ribavirin",199,100.007864748487,99.9989830463067,103.958151990302,92.4428849117679
"IgG_peak","favipiravir",199,100.000679230142,25.6867479618908,102.378766140607,93.398648597787
"IgG_peak","combination",199,99.9942519049751,21.1181422508948,100.001949415536,93.4850392008892
