"arm","start_day","duration_days","V_peak","t_V_peak","K_peak","t_K_peak","L_peak","T_end_frac","mortality_prob","rebound","placebo_mortality","placebo_K_peak","RRR"
"ribavirin",1,10,14515581.0414262,1,4.01614622991951,7.66666666666667,29.5274238307526,0.000850958766907929,0.0247802686282274,FALSE,0.0962672365568919,53.043994152707,74.2588761093367
"ribavirin",1,15,14515581.0414262,1,4.01614622991951,7.66666666666667,29.5274238307526,0.000279221538722161,0.0247420088295758,FALSE,0.0962672365568919,53.043994152707,74.2986194322159
"ribavirin",1,21,14515581.0414262,1,4.01614622991951,7.66666666666667,29.5274238307526,0.000484396355548269,0.0247313639260246,FALSE,0.0962672365568919,53.043994152707,74.3096770920511
"ribavirin",1,28,14515581.0414262,1,4.01614622991951,7.66666666666667,29.5274238307526,0.00379136219235193,0.0247299915247745,FALSE,0.0962672365568919,53.043994152707,74.3111027081788
"ribavirin",1,35,14515581.0414262,1,4.01614622991951,7.66666666666667,29.5274238307526,0.0301419728178478,0.0247297587465223,FALSE,0.0962672365568919,53.043994152707,74.311344512411
"ribavirin",2,10,30569299.1990995,2,9.03526191761288,2,39.2525398375174,0.000121651708449291,0.0365822656686255,FALSE,0.0962672365568919,53.043994152707,61.99925646873
"ribavirin",2,15,30569299.1990995,2,9.03526191761288,2,39.2525398375174,7.06614085925594e-05,0.0365599179662943,FALSE,0.0962672365568919,53.043994152707,62.0224707035314
"ribavirin",2,21,30569299.1990995,2,9.03526191761288,2,39.2525398375174,0.000207745192610816,0.0365545915831143,FALSE,0.0962672365568919,53.043994152707,62.0280036172937
"ribavirin",2,28,30569299.1990995,2,9.03526191761288,2,39.2525398375174,0.00169312642930612,0.0365538195386869,FALSE,0.0962672365568919,53.043994152707,62.0288055977545
"ribavirin",2,35,30569299.1990995,2,9.03526191761288,2,39.2525398375174,0.0136606189060551,0.036553666787691,FALSE,0.0962672365568919,53.043994152707,62.0289642716725
"ribavirin",3,10,34182581.7725451,3,21.3084007462541,3,65.6563218423432,9.21212495902865e-06,0.0564223227530985,FALSE,0.0962672365568919,53.043994152707,41.389900893484
"ribavirin",3,15,34182581.7725451,3,21.3084007462541,3,65.6563218423432,7.26096918398189e-06,0.0564085672592378,FALSE,0.0962672365568919,53.043994152707,41.4041897568115
"ribavirin",3,21,34182581.7725451,3,21.3084007462541,3,65.6563218423432,2.76067045452189e-05,0.0564056002417516,FALSE,0.0962672365568919,53.043994152707,41.4072718204422
"ribavirin",3,28,34182581.7725451,3,21.3084007462541,3,65.6563218423432,0.000225399119922417,0.0564051186567716,FALSE,0.0962672365568919,53.043994152707,41.4077720788865
"ribavirin",3,35,34182581.7725451,3,21.3084007462541,3,65.6563218423432,0.00183768659295775,0.0564050215252194,FALSE,0.0962672365568919,53.043994152707,41.4078729767159
