"time","T","I","V","NSs","F_I","NK","F_II","C_pro","C_anti","P","PLT","K","L","CD8_N","CD8_E","CD4","IgM","IgG","C_RBV","C_FAV_gut","C_FAV","C_FAVI_RTP","Hgb_drop","arm","sample_id"
5,39452.8066130709,947305.370087124,24123453.9639733,397801.831730545,4.19763954587326e-05,0.218935668554111,0.00798804977063879,0.13657197572906,0.000445080051660818,184.006813773396,4167.60845042546,7.89631705736767,111.37067743622,25.7222811182083,16.1160915504838,0.286849567712299,0.0418005214886526,0.000424524347284702,0,0,0,0,0,"placebo",1
5.5,12939.6487400673,939641.077568636,24857068.9657852,423512.145630443,3.65537819296746e-05,0.234848705673156,0.00877249223305833,0.137052475860814,0.000532777266844172,236.496495159922,1237.8078223614,11.3833812490436,168.602525056678,26.7798807239619,17.9951400513391,0.303557227494309,0.0554192988330171,0.000704410335322849,0,0,0,0,0,"placebo",1
6,4221.76250100264,910710.086482552,24533859.5529846,427436.628745051,3.45380872309186e-05,0.246832445568938,0.00937844092958219,0.133468228503424,0.000595760596569669,283.003013456009,678.662845545756,15.1670296229897,236.183945515268,27.7376128018618,19.8863718775581,0.319553504426983,0.069102577826589,0.00108053043647525,0,0,0,0,0,"placebo",1
6.5,1419.07240827154,873990.523302628,23743793.3866239,419326.167205909,3.42326585657541e-05,0.255704096517364,0.00983626756194779,0.128364732591506,0.000636525516780752,322.05174279724,549.231276894944,18.9702507072599,310.827440017715,28.6060340810383,21.7797046401592,0.334868378820494,0.0825545238680472,0.00155873053627851,0,0,0,0,0,"placebo",1
7,498.808975743962,834167.473772308,22763071.3021643,405183.28186567,3.48129225314207e-05,0.262138434473317,0.0101754516122654,0.122677140337586,0.000659243983581883,353.619042715859,490.858539521529,22.5830152460194,389.37093691557,29.3945393138717,23.6665365427049,0.349530680984276,0.0956107924041818,0.00214277920048238,0,0,0,0,0,"placebo",1
7.5,184.48635795893,792849.54680675,21701425.3878134,388101.915673909,3.58899678270622e-05,0.266664486972395,0.0104210157504749,0.116725421160617,0.000667854395508432,378.231185928602,454.877235581346,25.8668503111792,469.071025558207,30.1114748923466,25.5395649373935,0.363568046317744,0.108159111232037,0.00283479035212542,0,0,0,0,0,"placebo",1
8,71.9941585273324,750671.26427303,20600805.9204097,369563.122571315,3.7287908988127e-05,0.269687187344842,0.0105929246616003,0.110628984832653,0.000665595977295899,396.562231609766,431.412066216916,28.7416406054055,547.662807225598,30.7642523855912,27.3926250368871,0.377006932947761,0.120111127566039,0.00363541538867275,0,0,0,0,0,"placebo",1
8.5,29.6861647706205,707961.116074977,19478669.2603679,350268.008627875,3.89345236512903e-05,0.271511966370953,0.0107066043815817,0.104444199479085,0.000655016171949148,409.287388628615,416.320996798499,31.1696912489868,623.33111415209,31.359453178219,29.220547283402,0.389872658470772,0.131393024989891,0.00454395988269904,0,0,0,0,0,"placebo",1
9,12.9446660490074,664946.931259319,18344045.6701679,330564.963065849,4.08084603828494e-05,0.272366003559783,0.010773737006835,0.0982070861899037,0.000638090354070332,417.037544789198,407.313554859251,33.142275529958,694.656445089184,31.9029221532864,31.0190314589161,0.402189440851525,0.141942297897144,0.00555848133284181,0,0,0,0,0,"placebo",1
9.5,5.97183986748439,621819.076496328,17203050.8575761,310647.918759561,4.29142485766945e-05,0.272415084304423,0.0108030151034379,0.0919464545461823,0.000616346908760802,420.38909874094,403.020704961422,34.6695728566974,760.55845649375,32.3998506308284,32.7845356415374,0.413980438487783,0.151706481739752,0.00667588579150935,0,0,0,0,0,"placebo",1
10,2.91534902071235,578749.777366932,16060698.8500102,290643.471490472,4.52708758287325e-05,0.2717764564831,0.0108007652414908,0.0856879368207585,0.000590971950253901,419.865044944713,402.597963929618,35.7735357668901,820.244070537884,32.8548493830035,34.5141782625538,0.425267787565145,0.160642485828708,0.00789202788140757,0,0,0,0,0,"placebo",1
10.5,1.50599442917049,535898.66615948,14921477.6847558,270647.81557579,4.79069560869648e-05,0.270528350454201,0.0107714319847817,0.0794551814325371,0.000562891211465942,415.939175734545,405.524401907675,36.4829767650629,873.161804079993,33.2720126131834,36.2056516898452,0.436072635659396,0.168716091772113,0.00920181432696746,0,0,0,0,0,"placebo",1
11,0.823005588137763,493413.994985452,13789520.3817836,250741.937239209,5.08591171592021e-05,0.268716760510741,0.0107179379439293,0.0732701512025595,0.000532832429728504,409.040781165005,411.493672620401,36.8302503307664,918.962189717049,33.6549736701058,37.8571459222859,0.446415170564973,0.175901476947209,0.0105993097646494,0,0,0,0,0,"placebo",1
11.5,0.475602351946829,451432.563802474,12668646.4252034,230997.652232673,5.41720089574052e-05,0.266359935887051,0.0106419388281566,0.0671531483125868,0.000501372352799308,399.559059141159,420.352701870578,36.8490523896006,957.463679331435,34.0069530687669,39.4672811149483,0.456314642935142,0.182180720696544,0.0120778432636697,0,0,0,0,0,"placebo",1
12,0.290461505387649,410079.373153836,11562364.4444842,211479.888963641,5.78991797876884e-05,0.263450862811846,0.0105439887762023,0.0611227703217291,0.000468971987573071,387.847043176786,432.06723042938,36.572991302563,988.623342508458,34.33079911118,41.0350477598077,0.46578938051968,0.18754328453887,0.0136301140124633,0,0,0,0,0,"placebo",1
12.5,0.187331701855888,369467.336364265,10473866.0723728,192247.48859266,6.21044319074e-05,0.259957843809489,0.0104236253437456,0.0551958650886147,0.000436002984788342,374.225043235735,446.703584318426,36.0346859992956,1012.51171597773,34.629020992106,42.5597534126365,0.4748567903561,0.191985469391925,0.0152482947720381,0,0,0,0,0,"placebo",1
13,0.127475122572153,329697.154685047,9406020.795198,173353.461906947,6.68633402588473e-05,0.255823080667935,0.0102793765054701,0.0493875062920142,0.000402767388716386,358.983650007334,464.421435981518,35.2652208851241,1029.29123470862,34.9038136176358,44.0409748673292,0.483533342686293,0.195509856775916,0.0169241318789883,0,0,0,0,0,"placebo",1
13.5,0.091429642510682,290857.378140866,8361374.80403658,154845.084680135,7.22644138651753e-05,0.250958909470005,0.0101086834663631,0.04371099514322,0.000369512442034335,342.38636429198,485.474940760197,34.2938397489765,1039.19775160241,35.157072199418,45.4785146001756,0.491834525502159,0.198124742078253,0.0186490407617706,0,0,0,0,0,"placebo",1
14,0.0690394189206853,253024.648383231,7342154.54536544,136763.9821681,7.8408703732734e-05,0.245240959605965,0.00990772147312413,0.0381778884062413,0.000336441717749996,324.671910607638,510.221337524656,33.1477978151625,1042.52472227021,35.3903924322004,46.8723600662207,0.499774748937935,0.199843567994324,0.0204141960919053,0,0,0,0,0,"placebo",1
14.5,0.0548155354156331,216264.116445621,6350274.96342742,119146.259660345,8.54048916071616e-05,0.238496902634699,0.00967108324843693,0.0327980514923998,0.000303723531737651,306.056287729374,539.137320808414,31.8523168057985,1039.60969229972,35.6050473076093,48.222643865026,0.507367158120493,0.200684365959201,0.0222106158019548,0,0,0,0,0,"placebo",1
