"arm","n","V_peak_median","V_peak_IQR","V_AUC_median","V_AUC_IQR","clearance_rate","PLT_nadir_median","K_peak_median","L_peak_median","dialysis_risk_mean","ecmo_risk_mean","mortality_risk_mean","dialysis_median","ecmo_median","mortality_median"
"combination",200,33666299.4669226,13856112.479212,76341180.0859089,85949553.4170475,0.235,114469.164702714,16.4507152593432,52.0276743644752,0.205567868560181,0.136187550887108,0.0438009787490331,0.190289403305638,0.115092760013765,0.0438577489912621
"favipiravir",200,33670959.5370237,6716616.27921885,86059149.4859964,67999076.6701819,0.15,112896.788540436,24.809292742367,79.476190013028,0.254413772180469,0.169196259325851,0.0576099526738143,0.261674660409965,0.165755735262837,0.062525650835435
"placebo",200,34129200.5207176,424217.912089176,388427044.763602,53532924.7166163,0.035,39400.3683654136,54.0958009232738,186.918469792269,0.433408386605163,0.318174212407143,0.0951956573249716,0.435919672619745,0.318474273501879,0.096408768242787
"ribavirin",200,33666299.4669226,13856112.479212,167973448.457323,57954899.9927422,0.045,82867.243032226,16.4507152593432,56.7754219467262,0.215670258884657,0.153745108966578,0.0513091869956276,0.190289403305638,0.124296139100962,0.0488644907734313
