"arm","endpoint","subset","median","p5","p95","cv","n","n_total","n_established","establishment_fraction"
"placebo","V_peak","established",35470803.1997991,19243132.7292804,57731469.0302754,32.6238504947763,43,50,43,0.86
"placebo","V_AUC","established",398364699.05056,207147747.544576,589488928.544344,35.0935273327605,43,50,43,0.86
"placebo","K_peak","established",58.5393671320711,14.7842832321076,248.577937532962,95.9095412721407,43,50,43,0.86
"placebo","L_peak","established",188.055562918949,69.6240819138079,643.924108610344,78.8001867257304,43,50,43,0.86
"placebo","C_pro_max","established",0.325470718855776,0.181991735100585,1.49655934499759,88.2874568152451,43,50,43,0.86
"placebo","mortality_prob","established",0.0901580221294617,0.0546051665079717,0.153098289213593,34.0997460195599,43,50,43,0.86
"ribavirin","V_peak","established",31027292.6416568,1340179.35039429,53281941.3877409,56.521597791573,43,50,43,0.86
"ribavirin","V_AUC","established",165258118.391428,11069096.5471576,287185161.025162,50.1213861992422,43,50,43,0.86
"ribavirin","K_peak","established",13.5049120256333,0.68963566054161,120.017682054652,174.822030784185,43,50,43,0.86
"ribavirin","L_peak","established",96.8386464102398,2.01148427896728,520.673440564092,107.241255395673,43,50,43,0.86
"ribavirin","C_pro_max","established",0.288742630244647,0.013409709508824,0.860106352165696,117.254143472216,43,50,43,0.86
"ribavirin","mortality_prob","established",0.0532883808404417,0.00376680284720257,0.122054293760865,63.0161140874651,43,50,43,0.86
