"arm","treatment_day","V_peak","V_AUC","time_clearance","K_peak","L_peak","mortality_prob","placebo_mortality","placebo_V_AUC","RRR"
"ribavirin",1,14515581.0414262,136587118.495853,NA,4.01614622991951,29.5274238307526,0.024183702400942,0.0958369149781989,392927615.248294,74.7657753732543
"ribavirin",2,30569299.1990995,149196341.850425,NA,9.03526191761288,39.2525398375174,0.0361527779877718,0.0958369149781989,392927615.248294,62.2767719557793
"ribavirin",3,34182581.7725451,172451531.395369,NA,21.3084007462541,65.6563218423432,0.0560809324752968,0.0958369149781989,392927615.248294,41.4829531104438
"ribavirin",4,34182581.7725451,195652888.283787,NA,33.8454808658823,105.356463323538,0.0703904738784659,0.0958369149781989,392927615.248294,26.5518157648559
"ribavirin",5,34182581.7725451,217732681.714423,NA,43.3537664489398,139.355930313064,0.0791977684644807,0.0958369149781989,392927615.248294,17.3619387868476
"ribavirin",6,34182581.7725451,238590070.807981,NA,49.3057332761671,162.951767557109,0.0845810335540674,0.0958369149781989,392927615.248294,11.7448286254748
"ribavirin",7,34182581.7725451,258174797.936994,NA,52.2765201461424,176.795218247408,0.0878505120413044,0.0958369149781989,392927615.248294,8.33332640007372
"favipiravir",1,33310092.5900096,97250821.9971258,NA,23.2366854362929,71.1728756247515,0.0550573168416354,0.0958369149781989,392927615.248294,42.5510338535418
"favipiravir",2,30569299.1990995,68073969.6928209,NA,17.4387962047571,55.5267174307275,0.0514264779293284,0.0958369149781989,392927615.248294,46.3395937348077
"favipiravir",3,34182581.7725451,90068877.0680601,NA,29.5080917782262,94.7366612534003,0.0683633981548358,0.0958369149781989,392927615.248294,28.6669461653818
"favipiravir",4,34182581.7725451,120935289.655773,NA,39.2327250629368,127.578162980535,0.0785086402269642,0.0958369149781989,392927615.248294,18.0810022475958
"favipiravir",5,34182581.7725451,151108767.428243,NA,46.1385150362286,152.396800762151,0.0846870569942125,0.0958369149781989,392927615.248294,11.634199605155
"favipiravir",6,34182581.7725451,179841827.060657,NA,50.4273811194668,169.250820856881,0.0884957571449179,0.0958369149781989,392927615.248294,7.6600523242541
"favipiravir",7,34182581.7725451,206851001.007563,NA,52.5467299660145,179.043447623739,0.0907881133055719,0.0958369149781989,392927615.248294,5.26811789984631
"combination",1,14515581.0414262,21943853.2888804,NA,2.17156031797333,10.6986189040061,0.00955418733649193,0.0958369149781989,392927615.248294,90.0307858003721
"combination",2,30569299.1990995,47502663.7123557,NA,9.03526191761288,33.4229855068013,0.0294732130951214,0.0958369149781989,392927615.248294,69.2464922291937
"combination",3,34182581.7725451,79735359.1761509,NA,21.3084007462541,65.014961388645,0.0517408673853155,0.0958369149781989,392927615.248294,46.011547432338
"combination",4,34182581.7725451,112418326.472928,NA,33.8454808658823,105.356463323538,0.0675061433822927,0.0958369149781989,392927615.248294,29.5614394540464
"combination",5,34182581.7725451,143712721.275103,NA,43.3537664489398,139.355930313064,0.0772702483578111,0.0958369149781989,392927615.248294,19.3731889477154
"combination",6,34182581.7725451,173337431.411089,NA,49.3057332761671,162.951767557109,0.0832777237081396,0.0958369149781989,392927615.248294,13.1047532914809
"combination",7,34182581.7725451,201162111.027213,NA,52.2765201461424,176.795218247408,0.0869555410033702,0.0958369149781989,392927615.248294,9.26717432092733
"placebo",1,34182581.7725451,392927615.248294,NA,53.043994152707,183.400702223071,0.0958369149781989,0.0958369149781989,392927615.248294,0
"placebo",2,34182581.7725451,392927615.248294,NA,53.043994152707,183.400702223071,0.0958369149781989,0.0958369149781989,392927615.248294,0
"placebo",3,34182581.7725451,392927615.248294,NA,53.043994152707,183.400702223071,0.0958369149781989,0.0958369149781989,392927615.248294,0
"placebo",4,34182581.7725451,392927615.248294,NA,53.043994152707,183.400702223071,0.0958369149781989,0.0958369149781989,392927615.248294,0
"placebo",5,34182581.7725451,392927615.248294,NA,53.043994152707,183.400702223071,0.0958369149781989,0.0958369149781989,392927615.248294,0
"placebo",6,34182581.7725451,392927615.248294,NA,53.043994152707,183.400702223071,0.0958369149781989,0.0958369149781989,392927615.248294,0
"placebo",7,34182581.7725451,392927615.248294,NA,53.043994152707,183.400702223071,0.0958369149781989,0.0958369149781989,392927615.248294,0
