"beta","p","c","delta_natural","delta_NK","delta_CD8","k_FI","E_max_IFN","EC50_F","k_CI","k_CF2","k_CC","K_CC","d_C","I_gate","k_PV","k_PC","d_P","k_KP","k_KC","d_K","k_LP","k_LC","d_L","Emax_RBV","EC50_RBV","Emax_FAV","EC50_FAV","psi","k_form","k_elim_RTP","CL_RBV","placebo_mortality","rbv_mortality","fav_mortality","combo_mortality","combo_RRR","rbv_RRR","placebo_Vpeak","placebo_VAUC","combo_VAUC"
1.3807935361747e-07,68.209052524691,3.16260430065034,0.05262275847728,1.05625112702617e-05,0.00172222690483455,7.27312846922037,0.565922488033322,67.0730869339802,1.75821911321654,2.13955617804486,0.618318008335019,187.038595248005,4.82408940701421,11630.2760996862,0.287309008355752,0.128236171919804,0.362307767747406,0.253847353954336,0.0774870264706431,1.07934563712878,0.33610336619011,0.038575058834499,0.442393768056197,0.681343492960932,12.0755428024888,0.841186685442353,0.623995683128598,0.119634696987245,3.42302072458898,0.858031134474096,7.57095831580282,0.0773128915305838,0.0158324306290741,0.0295069479554232,0.0051429166587732,0.933479183652849,0.795216162329008,21041632.138367,193120043.304064,17689809.7087208
1.20182104594464e-07,73.4528105340826,4.10101859152248,0.0159390910317966,1.28023150063997e-05,0.00216645311440531,2.68723060585741,0.853991270176685,98.9602453364387,1.83005003093678,2.82431509521638,0.559733173473746,125.324595052441,6.85525956609601,6175.11658963336,0.613259236062443,0.0948016778370258,0.520158467906003,0.208886489362843,0.0325555650519643,0.535716403047726,0.215507374959659,0.145862889001543,0.727801909948539,0.620712127091351,6.56635872488926,0.838108289761166,0.371065681202967,0.232163110056564,1.83605499318326,0.839114005072016,7.40450972340983,0.0989240815601977,0.0290904628064738,0.0448853063995937,0.00101410289224571,0.989748675183518,0.705931434008092,18539490.6237462,197173844.064764,954882.770950555
1.97900205848054e-07,177.004944911308,2.70500869546613,0.0197836615031789,1.77849815730491e-06,0.00120113897230875,2.83325993204894,0.626439208334005,99.052541382984,1.52742824174538,0.848917152050223,0.492986164165969,168.708752880999,7.89311228161833,5479.38677907603,0.446293159358851,0.121328328721041,0.329519946532165,0.0930744440256148,0.0421096375335936,1.26433698601538,0.133704927884043,0.0739861298668598,0.360442990743805,0.829463621775321,4.2704934672014,0.909962814791027,0.293496038834607,0.0639830515986916,1.2132173556787,0.706554178208754,3.97540977278799,0.100079450022114,0.0742692140598596,0.0852750146005092,0.0723951891811512,0.276622831508825,0.257897460033519,64721242.3713767,698122484.796217,98583387.4525528
7.5120499650054e-08,108.656511175916,3.56072168624567,0.0183542504535266,8.17921042748025e-06,0.00113793855357337,5.36185290681666,0.804759719535078,26.6962751664853,2.78822053541426,2.44734755481918,1.09462699930359,234.215632881993,7.98253735402852,15720.7657525436,0.580176154815957,0.0564256494860005,0.421363729891636,0.112562252728317,0.0789221043883857,0.54563166661314,0.144467840123705,0.0446935457300667,0.710355061114041,0.866113718251827,4.02725982965358,0.951553250859427,0.896767913841153,0.0408556754038022,1.64438669525687,1.33967521626155,3.47756637328675,0.103128028464142,0.00389732989837774,0.00525398851415464,0.00064384482803687,0.993756839555401,0.96220881988709,32065788.2240143,378112967.562147,724098.161412745
1.081377209862e-07,70.9676592586636,2.1063479534149,0.0138373236946497,3.81572980061942e-06,0.000361668000718201,9.6757915966889,0.864046897788528,35.6170973984343,1.26288091071286,1.10870901792535,0.485156465057468,221.331972545209,5.06101518090673,6111.709745179,0.597864394193694,0.062978878811456,0.367365876664902,0.127393823149613,0.0572257464404097,0.743348485080739,0.104069905132068,0.126478079985214,0.361045656261352,0.785007167093771,14.7837016005648,0.97020313141034,0.405261658989809,0.020026535391531,3.14952032799099,1.51962967269169,5.44192851522246,0.109553745895884,0.0307158443708656,0.0782415830090488,0.0109247680783184,0.900279374393087,0.719627620948199,35637184.9961211,506908123.638468,29825250.7503638
1.18549997547251e-07,54.918266724236,2.48255967880672,0.0119732762661237,8.72080161973061e-06,0.000562926129856005,5.3534317204489,0.860930557186534,54.9504612112507,1.6102069280351,1.36355043060867,0.6597665547054,285.930535163641,4.75827760675544,17465.4472434763,0.325692298211469,0.0808740989205852,0.485470016312929,0.118616247282925,0.0683114074157432,1.24348068861917,0.162351168588573,0.145968632041773,0.552974787644027,0.646701253618475,6.90641627361278,0.922873954789689,0.590710703395404,0.135154790997299,1.32061091680006,1.41742769924914,3.29348690894211,0.0544290985622229,0.0102400174057456,0.0352368351140929,0.000640056482195428,0.988240545974435,0.811865019332641,23730751.012186,319552903.905383,4196561.78752179
1.64328947741656e-07,140.523042982864,2.6091143160572,0.0218882366841819,5.58687811176509e-06,0.000666551528486673,9.5583709867589,0.614932280731874,25.7466750904331,2.56069212597993,1.10023455165086,1.16437459960631,252.362601059182,5.22270114310261,7074.92661666974,0.400020211017836,0.110392431856963,0.649427570211564,0.0905918328011654,0.068745711138536,0.894741607680262,0.299679685182601,0.0718953753087966,0.443194901291463,0.870018551896468,10.7068459728067,0.895730345537199,0.79713878331443,0.026483088225078,1.53864293078675,2.27959283295141,4.25592097823947,0.0830225824924827,0.0546046570069388,0.0679579476643648,0.0533472600866524,0.357436754132735,0.342291514337283,54488345.8258908,646212554.826058,95373073.1433283
5.80559064814535e-08,76.1275033922338,4.08563414323815,0.0829884424672746,1.21089348719218e-05,0.000709845475256493,3.66137781154294,0.779916917795343,69.664831304326,2.45959622706797,1.57583286234564,0.522079344071494,188.929108395961,5.23818328970682,13732.5977513848,0.393827233369343,0.156311003609112,0.437288195540072,0.14671057878001,0.0346247196059544,0.889326076069969,0.139749152990567,0.120623838180063,0.626086746054972,0.602963208850901,10.3370111723611,0.918840023695957,0.379377805416463,0.0747841076750951,2.10742629143253,0.956796634910932,4.23226047037093,0,0,0,0,NA,NA,0,0,0
6.27197994043118e-08,126.187175201142,3.89066015567385,0.022214580806683,6.55517631198305e-06,0.000650735528053994,6.37373898789816,0.734561663276164,41.3625179730008,1.46138355580195,0.805237089546697,0.951455002554329,164.971061319175,4.22130209065535,12116.2057814367,0.95159220664903,0.0676089702704087,0.488419783346007,0.1571880919058,0.0598344072319706,1.2183164841784,0.132314568673408,0.144109122074567,0.558544073810053,0.693989104495183,6.13733830781193,0.835502370383604,0.977257084325099,0.133762367840054,4.57221929315796,2.15411393718773,5.35230428096692,0.10541616055905,0.0219075321224235,0.000905678074919794,0.00030397573513213,0.997116421870043,0.792180515717496,34049721.3896832,403314327.590762,208573.617718289
6.37437715758043e-08,114.012509853969,4.2350267405614,0.0122507801965673,1.77194117494955e-06,0.00279286984247188,2.58504736787245,0.6392100793966,40.0943502250552,1.23610598755021,1.7885177141451,0.499083060468723,226.941391961494,6.2727440762934,11065.7633876378,0.259025801049112,0.0811388943962726,0.541938719101259,0.212610633215216,0.089592881666505,0.776404403052173,0.166371020420834,0.0616506928173218,0.702338918576581,0.762056868534405,8.99715588757328,0.842636357600616,0.799228330127743,0.0346038555352453,2.73083155647499,1.68571377339996,4.10575981688823,0,0,0,0,NA,NA,0,0,0
8.56645798749707e-08,78.4055467523763,4.21780592900422,0.0466772463144141,3.28300179016433e-06,0.00180321893489741,4.46712048043993,0.700252604667604,90.3104214602954,1.07617518182989,1.98212925827392,0.594384704368588,133.726207407254,8.03746846929026,9361.83832718628,0.524745511769188,0.146967591381114,0.524316201646091,0.155439003979524,0.0973932963272639,0.637191220928522,0.359341822650343,0.0881191929485332,0.375647896616864,0.639315041591624,8.19574274413952,0.96500728691388,0.526141130353673,0.289266140627426,3.29481152096684,0.713594192463779,6.71800258157008,0,0,0,0,NA,NA,0,0,0
7.43645097713615e-08,96.18336968425,3.20789708032213,0.052477452976908,3.08150860276714e-06,0.0015262937509015,5.10167989896111,0.942139649296951,37.2688155221527,2.77809311971465,0.779632390559942,0.641318095684608,262.242823618959,4.53921341323191,8271.41772053991,0.341704811014373,0.0738327363020053,0.379748046434093,0.0856466609220861,0.070940532811717,0.841235300089139,0.375895043412312,0.0919422815291893,0.880425804166861,0.585734182776501,7.78610277574944,0.877052414886351,0.387251057191502,0.136844761085494,1.91535540096094,1.31835005554262,3.36686138455086,0.0654896341252249,0.0132889932089471,0.000678040166058395,0.000158685928659665,0.997576930597043,0.797082494253415,28977779.7287811,269363895.649828,434986.973405619
1.53956984756449e-07,174.553354326713,2.65712074410512,0.0486605910094509,4.59654706352024e-06,0.000500896988994017,4.95913957697631,0.933857861254227,26.8246988294723,1.44687437798977,1.34223006012594,0.990359074548973,154.168147009094,8.16358767822038,11528.7304571373,0.273287660908545,0.168475630153351,0.394326001005224,0.28049864083801,0.0630746135839164,0.597376195155659,0.120904698066982,0.046533425716662,0.784878151620972,0.797309845021797,14.0464223237341,0.9564101247402,0.837973854527587,0.0263010069735651,2.58917793789603,1.34090713499856,7.7319373064514,0.116271223256174,0.094547388672198,0.104697778741096,0.0921091457409734,0.207807889506466,0.186837585221866,62821377.0715267,576490544.687258,93841338.8960579
7.72081364826828e-08,75.4445308758114,3.40239061860759,0.0123938977877664,1.47218713879207e-05,0.000533268082922156,4.64891000312588,0.85606070059933,40.7854969004951,2.76281597305773,2.96398617755116,0.605059609720844,238.53019426445,4.77874586769406,5762.4341148707,0.331813880642969,0.114551165419431,0.36662894006838,0.106987105574509,0.056070269992375,0.514673741765894,0.38735421864137,0.0702148826830172,0.55035820019425,0.887732586976894,15.8586524972185,0.997969721541388,0.869122543784678,0.0286501546126358,3.6525215446017,1.21381360113813,4.32435735159349,0,0,0,0,NA,NA,0,0,0
1.66090112055125e-07,77.654683954821,2.57683151578912,0.0127582710933556,2.65535297188284e-06,0.00282779346223999,6.61923879785068,0.792792262845996,63.9536857725825,2.2200699647496,2.15707602630247,0.975550017311251,191.789757403839,4.68673862872797,5205.24537479496,0.397987800527919,0.0848788852869287,0.695223859922892,0.270718490887816,0.0390731821602806,0.81882551872927,0.162942525911036,0.0399485294909132,0.494781795649428,0.55091052377891,8.074241543362,0.919292020222166,0.371942589406825,0.16952923243796,1.82432632183548,0.67871918295519,3.62935653309109,0.0919148266001044,0.0485826408386631,0.0618939133397113,0.0422003321742318,0.540875680940643,0.471438475861652,31030359.3685176,319997640.204791,51056251.9713846
1.63633848475991e-07,128.260495772638,3.27404317182209,0.0181664800298332,5.46227593822486e-06,0.000691559974131551,2.80593459095963,0.759387942829031,93.8601686454969,1.55982849745114,0.982428161219761,0.54951751096683,149.192313825645,5.09227928836397,12721.4104072297,0.301813251442177,0.151707558730547,0.377832036661119,0.0880922500381042,0.0283538950960715,0.73659330741771,0.143456611279331,0.102894161306222,0.806934688376051,0.748825614385115,4.63288897863552,0.889597330570167,0.306162415192062,0.158953983280586,1.39355267919817,0.95988119276913,4.24088621238702,0.0810297555894196,0.0415636220224296,0.0557028453587647,0.0385085399021971,0.524760507765553,0.487057294939482,40319029.8436255,502909159.116727,67922529.2709024
1.77671864106673e-07,84.2252331603108,3.76720193924653,0.012985647560058,5.65512254366339e-06,0.00059784940391365,9.16304168265871,0.922779693393257,63.315274564011,1.71243777896822,0.823757594174227,0.997992642631912,132.605767892597,6.83325796888441,14631.887372181,0.291986784061524,0.0830274432006296,0.692425670869797,0.273659343192039,0.0609982664844832,0.508509184003137,0.173235486564987,0.131589980527343,0.600417313163764,0.610062892271635,7.48283644347892,0.856299386755824,0.391310643804891,0.0658570046297496,3.51541220093244,1.61709617991681,5.79553622793527,0.087896639994064,0.0354046821310426,0.0533300239873815,0.0294757882841507,0.664653981242726,0.59720096088504,23657312.6528376,328017461.584829,50798652.4415291
5.57823862617521e-08,139.678615210318,3.10386831629289,0.041385441860567,3.59086241599944e-06,0.00212365043351864,7.52701910026562,0.880532164879053,88.5958320758071,1.59662722066288,1.08659483245882,1.23337614047171,138.128060198134,5.36089145823907,6862.88135638212,0.334860691560666,0.056703856975823,0.423876991339041,0.141105811138661,0.0730923009281939,0.609182031784599,0.123162009145462,0.105350529816063,0.618816691208442,0.55041159886213,6.96464390198216,0.954236267444289,0.288248666939552,0.0726730862747057,2.14934288626299,0.870578404803512,6.14927996252383,0.0971249605821802,0.0318526850024241,0.00207601413279649,0.000625373916167537,0.993561141107096,0.672044294159867,44226350.7340379,413927397.434251,1201187.78123297
8.10399105942191e-08,113.210208204988,2.90769247275821,0.0126413885281141,1.28362614922411e-05,0.00264004624505267,9.93620085536843,0.677460821604118,30.2735602251485,1.169634258172,1.01226524384371,0.506445969924988,183.56364734074,4.50061295294376,19518.8821052031,0.257628201883208,0.0780579475043771,0.758742220733895,0.151150204610359,0.064738323220946,0.827387775113718,0.27965667358781,0.0489488745890903,0.420618304233595,0.723480408748866,12.7495243119732,0.96576436212504,0.554382163815641,0.143816137325741,2.02358306209158,0.826180438670517,4.97653512113801,0.0683316946551538,0.011499742672351,0.0190454047845287,0.00298468380716558,0.956320652923534,0.831707047068184,40493621.1895348,428823042.505919,11881787.3487434
5.82239313829167e-08,68.140416558877,4.36852266598502,0.0141484562647353,6.69899771992795e-06,0.000379673727260162,2.75313933140121,0.879120287181615,70.9062879574889,2.37841926651457,1.4483360843987,0.848494920263382,124.628037209601,4.07061594744427,8225.49325729674,0.321153151661101,0.0957011829518303,0.450418300886056,0.0777240800874278,0.0355747178536915,0.513973162188608,0.244893835279416,0.0724361922024768,0.688462907416589,0.84589215833662,8.75038952995006,0.955536695352688,0.464036136709434,0.0324383723902867,1.33186231767043,1.65782069736691,6.82386325738733,0,0,0,0,NA,NA,0,0,0
1.69447187194929e-07,173.500834708566,2.66430437502888,0.0150989847126214,5.73106218495612e-06,0.00263189794982916,5.07808731217309,0.688838571738799,52.6641311226957,1.43956027972891,1.19436018613972,0.788719868102208,274.869604546296,6.39581795239154,9333.87500122716,0.419294628862955,0.185407283310974,0.403971023316846,0.200129753694083,0.0669007563252623,1.19135293023365,0.185969655284557,0.0492298279981947,0.804701073297615,0.747468098419488,6.93893358241882,0.968250406962744,0.800510027401576,0.288644960011029,1.2595430474447,1.38258615533012,5.60956180656757,0.110240791255323,0.0886893863390332,0.0983665685619801,0.0858303180472888,0.22142868288652,0.19549392444377,65270347.7312144,613565071.793134,102319006.18991
1.75492483330169e-07,79.6237219738116,2.82028244334112,0.0175939663470415,1.09287597505851e-05,0.000514725631378064,2.54212248910463,0.586056696361117,47.2183536209648,1.13443095394323,1.80238320483046,1.01679343204214,235.088205214102,5.42281257090888,18830.1719170863,0.885526792005797,0.134206918712829,0.706544338934024,0.259355120257296,0.0943487872312517,1.12014876961298,0.391065343106121,0.114064340252577,0.831232103371048,0.534323955378359,14.8552094032789,0.842905485950594,0.423275766683269,0.0545962004018278,1.68500861294046,0.706741086497417,3.01040570834299,0.106278764852428,0.0704685983990511,0.0846646967610729,0.0632914376228673,0.404477105932218,0.336945640110711,29328209.4815441,394388905.513992,67821645.3350906
1.86463920615962e-07,170.417138666974,3.4696295791444,0.0361144908900805,3.2634196368303e-06,0.00181643057616576,5.89655866366673,0.776307728661474,35.9918595168226,2.32919138305939,1.08792928231168,0.969139327097064,243.659766103696,4.37696172320389,8888.02921396429,0.556422437068831,0.0822749560625714,0.493777081582163,0.173821084007189,0.0884931138322331,0.553825982458678,0.134273910832489,0.0501557155459224,0.462665577723921,0.823170769832749,6.17791185949074,0.855794606454463,0.586709400582829,0.0467746846008576,3.00542539721263,0.796719455223126,4.08200166865867,0.116765526754697,0.0964058779659963,0.106832168403837,0.0947612938022954,0.188448025405891,0.17436352453128,47457769.7921813,408976739.475986,69677532.5442182
8.72600039670242e-08,65.8894802485401,2.76915251631667,0.0556424485892128,1.68429173875315e-06,0.00109515700899088,4.76106911824884,0.879914570301094,62.1386470092659,1.11153593907445,0.838310936231916,0.828647630700871,231.524648220977,7.77574894516326,13663.2302165364,0.56481733492997,0.122499561108987,0.792978567026445,0.0789292069869474,0.0497939188995279,1.19531198797705,0.171579165521544,0.109278839623374,0.619320755634867,0.765635641570982,4.9420304840748,0.879046470631758,0.334763493809665,0.037630206161681,3.20506991559167,0.740186809733678,7.10254872948136,0.0422542346392371,6.22608929509748e-05,0.000117819015186989,5.58919168054329e-05,0.998677246972223,0.998526517082074,22698866.7926093,215445571.446872,131027.830145189
1.72438725704522e-07,174.310453642272,3.8062854658511,0.0229043973208896,7.49171407057104e-06,0.00288821401178508,9.59076787274195,0.654668371705521,26.7912006084944,2.44788413582939,1.54268958244543,0.663635483657384,258.961798872497,8.12297598865143,12781.8244330457,0.340372366601792,0.173523908756215,0.775968345398626,0.199758477640531,0.0584570149372557,0.701111262160758,0.223018655655056,0.0522960342026183,0.517577778852789,0.594600933491414,8.59115793636072,0.991656074679273,0.997198647711628,0.141535819085079,3.16522076533657,0.760552753472447,4.41958955746935,0.0916315462195676,0.0699534434324348,0.0749995863357725,0.0662769695546626,0.276701394999386,0.236579035075843,45654439.763118,392043265.650546,61102881.2033179
7.46641361704398e-08,93.4674916793649,2.9088139215835,0.0112823460597814,6.34263893662272e-06,0.000351741239470795,3.49839921165371,0.675639961966152,36.4056239588248,3.31213171647447,0.780679402823483,0.882715059660991,150.060231130632,4.69384824692165,18187.2583328145,0.304030152747922,0.195602350970723,0.589666161765974,0.0821333565240692,0.0405683767190592,1.05110559461204,0.357280589595284,0.144447782044418,0.457037631250421,0.492320095626854,5.25426413193515,0.835209448022353,0.453285187659751,0.0473388071759517,4.41397905581149,2.16481088718018,6.42346269639159,0.0562493173444098,0.0152038299752136,0.0394782169777343,0.000332272270230566,0.994092865728555,0.729706409019654,34752876.6409672,474462294.226472,2930164.74836722
8.19664169889263e-08,146.00104985376,3.8201285669842,0.0513021004692896,3.57561289525903e-06,0.00114357633448333,3.1176830244368,0.803477437486825,42.6765320432606,1.02788972772251,0.836059131838369,0.940960022904589,315.149364367247,7.67722493640294,19126.8704254851,0.309036242433776,0.122322051546086,0.387121472852863,0.091195830147657,0.028515995515121,0.601839084431213,0.292216821338723,0.0941890474630878,0.726924941422359,0.784736149455922,5.70311997591253,0.915714010513899,0.93131106324787,0.0870751797674814,3.03395078177062,0.835025351871425,4.16711716933947,0.0822419821817084,0.0137404695138156,0.0308358187951303,0.00524509156128373,0.936223672847585,0.832926333372451,37833771.7575778,369592764.327717,18958363.52632
1.03252324553838e-07,68.8848003731566,2.49668889500394,0.0574104134298497,1.75190668946533e-06,0.000370794474510153,6.72134669511348,0.732705462102168,82.3256233444163,2.31585271947933,0.778176902878727,1.20167949926285,178.270296521236,6.30582542019592,6428.89879454133,0.931258885203463,0.180761991434206,0.701754225193296,0.11630238273875,0.0477017362348836,0.513384459975884,0.275998649526939,0.148621996254012,0.741944983412943,0.672689227236179,14.1957096246315,0.917057370871557,0.887711037556179,0.0425632127895818,1.51476928464618,1.78507577054996,7.82132357468531,0.100394923365413,0.0290511908429053,0.0747609798196942,0.0103073212077369,0.897332246868491,0.710630877846621,26906906.8274147,277854582.286302,24986385.5411413
7.69998822197639e-08,91.5565398203952,4.31757861573872,0.0182199425070678,1.16962708981637e-05,0.00203405575211155,9.54671462868181,0.796430219974225,28.4633099445058,1.65595378983744,0.781289114377364,0.565066594257583,312.903450355532,4.90270027999981,16140.7112198439,0.469732337684564,0.115219680837654,0.353531316852689,0.119618295630258,0.0345177783313339,1.02622546020664,0.221741469944708,0.0597705802065011,0.37548706669953,0.617772825153582,15.3430472616265,0.892405756296351,0.267176784204839,0.175548565329966,3.71217350747663,0.717016206938722,3.49192294418002,0,0,0,0,NA,NA,0,0,0
6.86136641580176e-08,131.421944024983,2.78757752951737,0.0571124878653569,5.4441772505559e-06,0.000451016931704822,6.41654384443057,0.599053006862873,98.3827845363936,3.3830828277524,1.32625183042981,0.516681560412723,143.734039622474,5.39136458942691,16895.3670974438,0.715961364331804,0.0633111650201319,0.729242576268716,0.172858483779617,0.0651027344287654,1.25343534007941,0.148880440479928,0.064066165855862,0.561129402405843,0.873529379781666,4.54735021039043,0.877747630158097,0.309694718933512,0.108452305126135,2.23371705146764,0.916994581655111,5.70233085580703,0.0963345196783288,0.0130942073821518,0.0455583290048079,0.00648834106441737,0.932647808012303,0.864075645719989,46250587.5343825,471708508.433459,11090759.0054578
